x,y,w,h,aspect_ratio,ground_truth,predicted
185,8,48,48,1.0,right,center
60,72,56,56,1.0,left,center
150,74,55,55,1.0,right,center
194,8,48,48,1.0,right,center
57,71,57,57,1.0,left,right
152,75,53,53,1.0,right,center
189,3,54,54,1.0,right,center
124,212,39,39,1.0,center,right
56,69,58,58,1.0,left,center
151,73,53,53,1.0,right,center
194,4,50,50,1.0,right,center
49,61,56,56,1.0,left,center
143,63,54,54,1.0,right,center
57,67,56,56,1.0,left,center
151,69,54,54,1.0,right,center
61,71,56,56,1.0,center,center
152,72,56,56,1.0,right,center
59,74,57,57,1.0,left,center
153,77,52,52,1.0,right,center
149,72,52,52,1.0,right,center
55,69,58,58,1.0,left,center
165,82,53,53,1.0,right,center
70,79,58,58,1.0,center,right
209,14,48,48,1.0,right,center
162,79,51,51,1.0,right,center
68,77,56,56,1.0,center,center
56,68,58,58,1.0,left,right
152,71,52,52,1.0,right,center
166,81,53,53,1.0,right,center
74,80,56,56,1.0,center,center
163,81,52,52,1.0,right,center
69,79,57,57,1.0,center,center
71,78,58,58,1.0,center,center
157,80,54,54,1.0,right,right
144,76,59,59,1.0,right,left
68,76,62,62,1.0,center,center
142,76,60,60,1.0,center,left
69,76,64,64,1.0,center,center
64,78,54,54,1.0,left,center
146,75,58,58,1.0,right,right
72,83,55,55,1.0,center,center
159,84,55,55,1.0,right,center
166,84,52,52,1.0,right,center
75,83,55,55,1.0,center,center
68,79,55,55,1.0,center,center
160,81,51,51,1.0,right,center
161,80,52,52,1.0,right,center
71,79,55,55,1.0,center,center
205,12,48,48,1.0,right,center
159,86,51,51,1.0,right,center
135,229,30,30,1.0,center,left
64,83,57,57,1.0,left,left
132,215,46,46,1.0,center,center
151,78,52,52,1.0,right,center
56,75,56,56,1.0,left,center
57,73,56,56,1.0,left,center
151,75,53,53,1.0,right,center
120,203,50,50,1.0,center,center
65,78,55,55,1.0,left,center
135,216,40,40,1.0,center,center
158,78,53,53,1.0,right,center
152,74,56,56,1.0,right,center
58,74,54,54,1.0,left,right
56,74,53,53,1.0,left,center
148,72,56,56,1.0,right,center
129,219,28,28,1.0,center,center
51,69,54,54,1.0,left,right
144,68,56,56,1.0,right,center
120,208,37,37,1.0,center,center
57,72,55,55,1.0,left,right
152,71,56,56,1.0,right,center
122,209,41,41,1.0,center,right
156,74,57,57,1.0,right,center
62,76,54,54,1.0,left,right
127,212,41,41,1.0,center,center
59,75,54,54,1.0,left,right
152,72,59,59,1.0,right,right
55,73,55,55,1.0,left,right
147,70,58,58,1.0,right,center
123,211,39,39,1.0,center,center
107,179,21,21,1.0,center,center
154,77,59,59,1.0,right,center
63,80,55,55,1.0,left,right
62,76,56,56,1.0,left,right
155,74,57,57,1.0,right,center
130,215,39,39,1.0,center,right
98,167,20,20,1.0,center,center
150,69,55,55,1.0,right,center
56,69,56,56,1.0,left,right
151,73,56,56,1.0,right,center
59,74,55,55,1.0,left,center
122,207,44,44,1.0,center,center
56,72,56,56,1.0,left,center
148,73,55,55,1.0,right,center
116,204,48,48,1.0,center,center
57,71,55,55,1.0,left,center
150,71,55,55,1.0,right,center
118,204,45,45,1.0,center,right
58,74,54,54,1.0,left,right
153,75,53,53,1.0,right,center
125,211,40,40,1.0,center,center
149,74,55,55,1.0,right,center
56,74,55,55,1.0,left,center
115,203,51,51,1.0,center,center
148,72,54,54,1.0,right,center
56,71,55,55,1.0,left,right
122,209,39,39,1.0,center,center
150,74,54,54,1.0,right,center
57,73,56,56,1.0,left,right
119,209,43,43,1.0,center,left
152,75,54,54,1.0,right,center
58,73,56,56,1.0,left,center
114,201,52,52,1.0,center,right
145,67,54,54,1.0,right,center
54,66,55,55,1.0,left,center
116,199,46,46,1.0,center,center
148,72,52,52,1.0,right,center
56,69,56,56,1.0,left,right
151,75,52,52,1.0,right,center
59,73,56,56,1.0,left,center
126,213,36,36,1.0,center,center
150,70,54,54,1.0,right,center
56,68,57,57,1.0,left,center
147,66,54,54,1.0,right,center
54,64,57,57,1.0,left,right
122,207,34,34,1.0,center,center
148,69,54,54,1.0,right,center
54,68,56,56,1.0,left,center
149,72,54,54,1.0,right,center
56,70,56,56,1.0,left,center
152,72,51,51,1.0,right,center
57,68,56,56,1.0,left,center
58,69,56,56,1.0,left,center
146,70,57,57,1.0,right,center
154,75,54,54,1.0,right,center
61,73,56,56,1.0,left,center
157,74,54,54,1.0,right,center
64,73,56,56,1.0,center,center
148,73,52,52,1.0,right,center
55,71,55,55,1.0,left,center
158,77,52,52,1.0,right,center
62,75,55,55,1.0,left,center
160,79,51,51,1.0,right,center
